Rad;VoltajeV);Rad2;Peso(g);e(Rad);T;N de piezas;I(A);Delta Rad;N1/2;Q;Rad de calibración;e(Rad);Radio Ex;Radio Int
0.1;3.6;0;0;0.01;1.16;0;0;0;2;9.06;-0.02;0.01;0.045;0.02
0.2;8;-0.21;-100;;1.22;1;0.25;0.16;3;13.59;;;;
0.3;12.8;-0.4;-200;;1.28;2;0.35;0.23;3.5;15.855;;;;
0.4;15.6;-0.51;-300;;1.34;3;0.45;0.29;;;;;;
0.5;20;-0.7;-400;;1.42;4;0.55;0.35;;;;;;
0.6;23.4;-0.81;-500;;;;0.65;0.4;;;;;;
0.7;28.2;-0.91;-600;;;;0.75;0.45;;;;;;
0.8;31.6;0.2;100;;;;0.85;0.5;;;;;;
0.9;36.4;0.4;200;;;;0.95;0.54;;;;;;
;;0.58;300;;;;1.05;0.59;;;;;;
;;0.72;400;;;;1.15;0.62;;;;;;
;;0.84;500;;;;1.25;0.65;;;;;;
;;0.94;600;;;;1.35;0.69;;;;;;
;;;;;;;1.45;0.73;;;;;;
;;;;;;;1.55;0.75;;;;;;
;;;;;;;1.65;0.78;;;;;;
;;;;;;;1.75;0.81;;;;;;
;;;;;;;1.85;0.83;;;;;;
;;;;;;;1.95;0.85;;;;;;
;;;;;;;-0.25;-0.16;;;;;;
;;;;;;;-0.5;-0.32;;;;;;
;;;;;;;-0.75;-0.46;;;;;;
;;;;;;;-1;-0.56;;;;;;
;;;;;;;-1.25;-0.68;;;;;;
;;;;;;;-1.5;-0.74;;;;;;
;;;;;;;-1.75;-0.8;;;;;;
;;;;;;;-2;-0.88;;;;;;
